时间,index,开盘,收盘,最高,最低,成交量,成交额,均价,XG_480,XG,日期,月初,RQ,RQ变化,JY,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,H1,L1,P1,阻力,支撑,累计成交额,累计成交量,均价基础,均线,EMA12,EMA26,DIF,DEA,MACD1,MACD2,XX,主力,大户,散户,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,机构买盘,机构卖盘,散户买盘,散户卖盘,cross_support,longcross_support,longcross_resistance,主力_拉信号,主力_冲信号,压力信号
2025-09-29 09:51:00,21.0,27.3,27.31,27.33,27.3,2587.0,7067183.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,22,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,394212178.0,14424700.0,27.328968921364048,27.328968921364048,27.327436630983968,27.34501450295666,27.452422128027308,27.4505402947642,0.018818332631092005,0.025260704183494583,27.31575201920277,1.0007825919753826,1.0022161967305043,1.0030264467692647,31.575735383864274,329.1081747559114,938.1598202651712,120.16666879720016,0.0,1387.4346638182828,23.72062507435059,67.61830626916247,8.661068656486934,0.0,329.1081747559114,938.1598202651712,120.16666879720016,0.0,False,False,False,False,False,False
2025-09-29 09:52:00,22.0,27.31,27.32,27.33,27.31,3155.0,8621036.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,23,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,402833214.0,14740200.0,27.328883868604226,27.328883868604226,27.326292533909513,27.34316157681172,27.45313095709779,27.45105842723092,0.020725298668722303,0.02223710050697973,27.31575201920277,1.0007228702597377,1.002148633361016,1.002978993334419,38.49438750610054,329.1081747559114,938.1598202651712,158.6610563033007,0.0,1425.9290513243834,23.080262966116035,65.79288214892749,11.126854884956478,0.0,329.1081747559114,938.1598202651712,158.6610563033007,0.0,False,False,False,False,False,False
2025-09-29 09:53:00,23.0,27.32,27.35,27.37,27.32,2270.0,6207140.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,24,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,409040354.0,14967200.0,27.329116601635576,27.329116601635576,27.329939836384973,27.343668126677517,27.456271709707455,27.452101083726227,0.04170625981227971,0.03521654004384638,27.31575201920277,1.0007734332219504,1.002119293951244,1.0029504774340645,27.666057282145033,329.1081747559114,938.1598202651712,186.32711358544574,0.0,1453.5951086065284,22.64097978916612,64.54065610915043,12.818364101683446,0.0,329.1081747559114,938.1598202651712,186.32711358544574,0.0,False,False,False,False,False,False
2025-09-29 09:54:00,24.0,27.36,27.32,27.36,27.32,1938.0,5297995.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,25,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,414338349.0,15161000.0,27.329222940439283,27.329222940439283,27.328410630787285,27.34191493210881,27.456495698678474,27.45298000671668,0.03515691961794687,0.03517679309324671,27.31575201920277,1.0007145837685372,1.0020549077220593,1.00290427969071,23.645680819912155,329.1081747559114,938.1598202651712,186.32711358544574,23.645680819912155,1477.2407894264404,22.27857348047452,63.507576217782685,12.61318499455934,1.6006653071834636,329.1081747559114,938.1598202651712,186.32711358544574,23.645680819912155,False,False,False,False,False,False
2025-09-29 09:55:00,25.0,27.32,27.33,27.33,27.31,2466.0,6737126.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,26,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,421075475.0,15407600.0,27.329076235104754,27.329076235104754,27.3286551491277,27.341032344545194,27.457622804582506,27.453908566289847,0.037142382926589335,0.03648718631547512,27.31575201920277,1.000696204656778,1.002004635439207,1.0028648966064844,30.0768386388584,329.1081747559114,938.1598202651712,216.40395222430413,23.645680819912155,1507.317628065299,21.834029445959214,62.24035351257293,14.356891221531525,1.5687258199363268,329.1081747559114,938.1598202651712,216.40395222430413,23.645680819912155,False,False,False,False,False,False
2025-09-29 09:56:00,26.0,27.34,27.32,27.34,27.31,2752.0,7520461.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,27,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,428595936.0,15682800.0,27.329044303313182,27.329044303313182,27.32732358772344,27.3394743930974,27.45784919462604,27.45469669195709,0.031525026689500635,0.0331790798981588,27.31575201920277,1.0006447103048097,1.0019440085054987,1.0028201134222634,33.57735480722304,329.1081747559114,938.1598202651712,216.40395222430413,57.22303562713519,1540.8949828725222,21.35824818784152,60.88408559266397,14.044042886095058,3.7136233333994335,329.1081747559114,938.1598202651712,216.40395222430413,57.22303562713519,False,False,False,False,False,False
2025-09-29 09:57:00,27.0,27.33,27.31,27.33,27.31,2527.0,6903030.0,27.329,32.28,32.28,2025-09-29,2025-09-01,29,False,28,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,435498966.0,15935500.0,27.328854820997144,27.328854820997144,27.324658420381372,27.337291104719817,27.457367315661553,27.455230816697984,0.021364989635692666,0.02530301972318138,27.31575201920277,1.0005632545450334,1.0018733664176842,1.002770019395898,30.843402904918833,329.1081747559114,938.1598202651712,216.40395222430413,88.06643853205402,1571.738385777441,20.939119241089355,59.689311449953685,13.768446083809462,5.603123225147488,329.1081747559114,938.1598202651712,216.40395222430413,88.06643853205402,False,False,False,False,False,False
2025-09-29 09:58:00,28.0,27.32,27.3,27.32,27.3,4773.0,13032001.0,27.328,32.28,32.28,2025-09-29,2025-09-01,29,False,29,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,448530967.0,16412800.0,27.32811994297134,27.32811994297134,27.320864817245774,27.334528800666497,27.456336016579275,27.455451856674244,0.00884159905030657,0.014328739274598174,27.31575201920277,1.0004546908448593,1.0017930375414716,1.002714702309903,58.27838827838827,329.1081747559114,996.4382085435595,216.40395222430413,88.06643853205402,1630.0167740558293,20.190477791036475,61.130549354054125,13.276179464450845,5.40279339045855,329.1081747559114,996.4382085435595,216.40395222430413,88.06643853205402,False,False,False,False,False,False
2025-09-29 09:59:00,29.0,27.3,27.29,27.3,27.29,4212.0,11497705.0,27.327,32.28,32.28,2025-09-29,2025-09-01,29,False,30,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,460028672.0,16834000.0,27.327353688962813,27.327353688962813,27.31611638382335,27.331230370987495,27.454886012835853,27.45533868790657,-0.004526750707150029,0.0017584126200993729,27.31575201920277,1.0003216009128966,1.0017033394764807,1.0026542484958427,51.44741663613045,329.1081747559114,1047.88562517969,216.40395222430413,88.06643853205402,1681.4641906919594,19.572713863176364,62.31983000175948,12.869970911200264,5.237485223863896,329.1081747559114,1047.88562517969,216.40395222430413,88.06643853205402,False,False,False,False,False,False
2025-09-29 10:00:00,30.0,27.3,27.29,27.3,27.29,7842.0,21401539.0,27.326,32.28,32.28,2025-09-29,2025-09-01,29,False,31,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,481430211.0,17618200.0,27.325731970348844,27.325731970348844,27.31209847861976,27.328176269432863,27.453922209186896,27.455055392162638,-0.011331829757423861,-0.006968415631582783,27.31575201920277,1.0002011862125493,1.0016165823316534,1.0025947939183784,95.78600219860755,329.1081747559114,1047.88562517969,216.40395222430413,88.06643853205402,1681.4641906919594,19.572713863176364,62.31983000175948,12.869970911200264,5.237485223863896,329.1081747559114,1047.88562517969,216.40395222430413,88.06643853205402,False,False,False,False,False,False
