时间,开盘,收盘,最高,最低,成交量,成交额,均价,XG,XG_480,日期,月初,RQ,RQ变化,JY,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,H1,L1,P1,阻力,支撑,累计成交额,累计成交量,均价基础,均线,EMA12,EMA26,DIF,DEA,MACD1,MACD2,XX,主力,大户,散户,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,机构买盘,机构卖盘,散户买盘,散户卖盘,cross_support,longcross_support,longcross_resistance,主力_拉信号,主力_冲信号
2025-09-29 10:37:00,7.27,7.27,7.28,7.27,13598.0,9892002.0,7.318,7.4,8.36,2025-09-29,2025-09-01,29,False,68,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1267696536.0,173232800.0,7.317878230912391,7.317878230912391,7.285730634011473,7.2980483519358845,7.397682282075588,7.398277127543876,-0.005948454682878079,-0.005036069911125667,7.325981954382264,0.9955233742826711,0.998850657760331,1.0014693140455133,623.4754699679047,13612.367862748308,41571.20073836002,0.0,0.0,55183.56860110833,24.667429468261883,75.33257053173811,0.0,0.0,13612.367862748308,41571.20073836002,0.0,0.0,False,False,False,False,False
2025-09-29 10:38:00,7.28,7.28,7.28,7.27,6182.0,4499596.0,7.318,7.4,8.36,2025-09-29,2025-09-01,29,False,69,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1272196132.0,173851000.0,7.317738362160701,7.317738362160701,7.284848998009708,7.29671143697767,7.398137561032038,7.398249214241509,-0.0011165320947092994,-0.002423044700181422,7.325981954382264,0.9953519521119096,0.9986825523088341,1.0013412830941772,283.05860805860806,13895.426470806915,41571.20073836002,0.0,0.0,55466.62720916694,25.051868429653545,74.94813157034645,0.0,0.0,13895.426470806915,41571.20073836002,0.0,0.0,False,False,False,False,False
2025-09-29 10:39:00,7.28,7.27,7.28,7.27,11164.0,8121167.0,7.318,7.4,8.36,2025-09-29,2025-09-01,29,False,70,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1280317299.0,174967400.0,7.3174619900621485,7.3174619900621485,7.282564536777445,7.2947328120163615,7.397831724761084,7.398165716345424,-0.0033399158434033183,-0.0030342921289960192,7.325981954382264,0.995066855411952,0.9984752042581297,1.0011928062953042,511.87528656579553,13895.426470806915,42083.07602492582,0.0,0.0,55978.50249573273,24.822790627287983,75.17720937271201,0.0,0.0,13895.426470806915,42083.07602492582,0.0,0.0,False,False,False,False,False
2025-09-29 10:40:00,7.28,7.28,7.28,7.27,9464.0,6888550.0,7.317,7.4,8.36,2025-09-29,2025-09-01,29,False,71,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1287205849.0,175913800.0,7.317253387738767,7.317253387738767,7.282169992657838,7.293641492607742,7.398528500050096,7.39823827308636,0.0029022696373637302,0.0009234157152438135,7.325981954382264,0.994938911228878,0.9983194087575247,1.0010693457200046,433.3333333333333,14328.759804140249,42083.07602492582,0.0,0.0,56411.83582906607,25.400272112323965,74.59972788767604,0.0,0.0,14328.759804140249,42083.07602492582,0.0,0.0,False,False,False,False,False
2025-09-29 10:41:00,7.29,7.29,7.29,7.28,14344.0,10444336.0,7.317,7.4,8.36,2025-09-29,2025-09-01,29,False,72,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1297650185.0,177348200.0,7.316962816651086,7.316962816651086,7.283374609172017,7.2933717524145765,7.400002856757441,7.398591189820577,0.014116669368640089,0.00971891815084133,7.325981954382264,0.9949531526563179,0.9982134755594745,1.0009704878769798,655.8756287151349,14984.635432855384,42083.07602492582,0.0,0.0,57067.7114577812,26.257642106326703,73.7423578936733,0.0,0.0,14984.635432855384,42083.07602492582,0.0,0.0,False,False,False,False,False
2025-09-29 10:42:00,7.29,7.28,7.29,7.28,6939.0,5053484.0,7.317,7.4,8.36,2025-09-29,2025-09-01,29,False,73,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1302703669.0,178042100.0,7.316829384735408,7.316829384735408,7.282855438530168,7.292381252235718,7.40047418629445,7.398967789115352,0.015063971790985065,0.013282287244270486,7.325981954382264,0.9948360373071139,0.9980662613276777,1.0008507019862807,317.7197802197802,14984.635432855384,42400.79580514559,0.0,0.0,57385.43123800098,26.11226422732268,73.88773577267732,0.0,0.0,14984.635432855384,42400.79580514559,0.0,0.0,False,False,False,False,False
2025-09-29 10:43:00,7.28,7.29,7.29,7.28,6870.0,5002223.0,7.317,7.4,8.36,2025-09-29,2025-09-01,29,False,74,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1307705892.0,178729100.0,7.316692648259293,7.316692648259293,7.283954601833219,7.292204863181221,7.401749738651999,7.399524179022681,0.022255596293181412,0.01926449327687777,7.325981954382264,0.9948600762509122,0.9979686280453602,1.0007554580892677,314.12894375857337,15298.764376613957,42400.79580514559,0.0,0.0,57699.56018175955,26.514525116692873,73.48547488330712,0.0,0.0,15298.764376613957,42400.79580514559,0.0,0.0,False,False,False,False,False
2025-09-29 10:44:00,7.29,7.29,7.29,7.28,3309.0,2410511.0,7.317,7.4,8.36,2025-09-29,2025-09-01,29,False,75,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1310116403.0,179060000.0,7.316633547414274,7.316633547414274,7.284884663089647,7.292041539982612,7.4028431231070355,7.4001879678395515,0.02655155267484055,0.024122532875519624,7.325981954382264,0.9948818257714916,0.9978741958542663,1.0006617884715443,151.3031550068587,15298.764376613957,42400.79580514559,0.0,0.0,57699.56018175955,26.514525116692873,73.48547488330712,0.0,0.0,15298.764376613957,42400.79580514559,0.0,0.0,False,False,False,False,False
2025-09-29 10:45:00,7.28,7.29,7.29,7.28,7506.0,5466742.0,7.317,7.4,8.36,2025-09-29,2025-09-01,29,False,76,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1315583145.0,179810600.0,7.316493827393936,7.316493827393936,7.285671637998933,7.291890314798715,7.403781323200218,7.400906638911685,0.028746842885327695,0.02720540621539167,7.325981954382264,0.9949015039091588,0.9977828598005852,1.000569667111965,343.2098765432099,15298.764376613957,42400.79580514559,0.0,0.0,57699.56018175955,26.514525116692873,73.48547488330712,0.0,0.0,15298.764376613957,42400.79580514559,0.0,0.0,False,False,False,False,False
2025-09-29 10:46:00,7.28,7.29,7.29,7.28,7246.0,5277264.0,7.316,7.4,8.36,2025-09-29,2025-09-01,29,False,77,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1320860409.0,180535200.0,7.3163594080268,7.3163594080268,7.286337539845251,7.291750291480291,7.40458724836496,7.401642760802341,0.029444875626190026,0.028698385822590572,7.325981954382264,0.9949193079384766,0.997694518371615,1.0004790684194862,331.3214449016918,15298.764376613957,42400.79580514559,0.0,0.0,57699.56018175955,26.514525116692873,73.48547488330712,0.0,0.0,15298.764376613957,42400.79580514559,0.0,0.0,False,False,False,False,False
